111.09.18,香蕉-越旦,台中市,13.1,185.0
111.09.18,鳳梨-金鑽鳳梨,台中市,18.0,24350.0
111.09.18,鳳梨-牛奶鳳梨,台中市,4.4,288.0
111.09.18,椪柑-進口,台中市,125.0,1996.0
111.09.18,甜橙-柳橙,台中市,25.5,1656.0
111.09.18,雜柑-黃金檸檬,台中市,26.1,700.0
111.09.18,黃秋葵,台中市,76.3,441.0
111.09.18,花椰菜-青梗,台中市,21.7,648.0
111.09.18,胡瓜-黑刺,台中市,31.0,1662.0
111.09.18,甜椒-其他,台中市,88.1,186.0
111.09.18,甜椒-新香,台中市,48.0,12.0
111.09.18,甜椒-彩色種,台中市,31.9,1422.0
111.09.18,敏豆-醜豆,台中市,69.7,100.0
111.09.18,釋迦,豐原區,52.5,125.8
111.09.18,黃秋葵,豐原區,100.0,12.0
111.09.18,胡瓜-黑刺,豐原區,23.5,480.0
111.09.18,花椰菜-青梗,溪湖鎮,45.0,3535.0
111.09.18,花胡瓜,南投市,70.39,415.0
111.09.18,扁蒲-圓形,南投市,24.15,181.0
111.09.18,蕃茄-牛蕃茄,南投市,34.13,188.0
111.09.18,甜椒-彩色種,南投市,13.29,249.0
111.09.18,釋迦,嘉義市,65.0,1200.0
111.09.18,小番茄-聖女,嘉義市,68.0,800.0
111.09.18,火龍果-白肉,嘉義市,16.0,3000.0
111.09.18,櫻桃-進口,嘉義市,380.0,600.0
111.09.18,榴槤-進口,嘉義市,105.0,700.0
111.09.18,其他,嘉義市,23.0,3800.0
111.09.18,釋迦,高雄市,73.9,732.0
111.09.18,火龍果-白肉,高雄市,17.5,809.0
111.09.18,椪柑-進口,高雄市,90.0,100.0
111.09.18,雜柑-桔子,高雄市,70.2,420.0
111.09.18,黃秋葵,高雄市,79.5,621.0
111.09.18,苦瓜-青大米,高雄市,27.0,218.0
111.09.18,苦瓜-翠綠,高雄市,34.3,1751.0
111.09.18,扁蒲-梨子蒲,高雄市,23.0,506.0
111.09.18,蕃茄-黑柿,高雄市,60.6,2040.0
111.09.18,甜椒-新香,高雄市,58.6,31.0
111.09.18,甜椒-青椒,高雄市,55.8,3062.0
