Date,Open,High,Low,Close,RSI14
2016/1/4,22.08747292,22.08747292,21.15704727,21.15704727,27.6159
2016/1/5,21.15704727,21.60203362,21.11659431,21.35931396,30.5941
2016/1/6,21.39976692,21.48067474,21.0356884,21.07614136,28.8071
2016/1/7,21.27840614,22.33019257,21.23795319,22.12792587,42.2904
2016/1/8,22.04701805,22.08747292,21.60203362,21.84475327,40.089
2016/1/11,21.44021988,21.48067474,20.83342171,21.0356884,34.5546
2016/1/12,21.19750023,21.23795319,21.0356884,21.11659431,35.5133
2016/1/13,21.19750023,21.64248657,21.19750023,21.64248657,41.5111
2016/1/14,21.19750023,21.64248657,21.0356884,21.64248657,41.5111
2016/1/15,21.56158066,21.76384544,21.15704727,21.76384544,42.9317
2016/1/18,21.44021988,21.76384544,21.23795319,21.5211277,40.7975
2016/1/19,21.48067474,21.5211277,21.27840614,21.44021988,40.0822
2016/1/20,21.19750023,21.23795319,20.91432762,21.11659431,37.2676
2016/1/21,21.23795319,21.27840614,20.91432762,20.91432762,35.5856
2016/1/22,21.0356884,21.15704727,20.71206284,20.75251579,34.2538
2016/1/25,20.91432762,21.0356884,20.83342171,20.91432762,36.8011
2016/1/26,20.75251579,20.83342171,20.59070206,20.63115501,34.2968
2016/1/27,20.71206284,20.83342171,20.63115501,20.63115501,34.2968
2016/1/28,20.63115501,21.0356884,20.63115501,20.91432762,39.1029
2016/1/29,20.91432762,21.68293953,20.87387466,21.5211277,47.898
2016/2/1,22.00656509,22.04701805,21.56158066,22.04701805,54.0868
2016/2/2,21.92565918,21.92565918,21.72339249,21.72339249,50.1398
2016/2/3,21.64248657,21.72339249,21.23795319,21.5211277,47.7923
2016/2/15,21.68293953,22.12792587,21.5211277,21.88520622,52.1363
2016/2/16,22.08747292,22.85608482,22.08747292,22.85608482,61.3675
2016/2/17,22.89653778,22.89653778,22.37064552,22.77517891,60.3234
2016/2/18,22.93699074,23.50333595,22.77517891,23.50333595,65.94
2016/2/19,23.462883,23.54378891,23.13925743,23.54378891,66.226
2016/2/22,23.70560265,24.11013412,23.54378891,23.70560265,67.4052
2016/2/23,23.78650856,23.82696152,23.42242813,23.70560265,67.4052
2016/2/24,23.70560265,23.86741447,23.50333595,23.62469673,66.0676
2016/2/25,23.70560265,23.9483223,23.66514969,23.86741447,68.112
2016/2/26,24.11013412,24.51466751,24.02922821,24.27194786,71.2239
2016/3/1,24.19104195,24.27194786,23.7460556,24.15058708,69.0469
2016/3/2,24.19104195,24.47421455,24.11013412,24.2314949,69.7116
2016/3/3,24.2314949,24.59557343,24.06968117,24.59557343,72.5663
2016/3/4,24.59557343,24.63602638,23.98877525,24.06968117,63.2875
2016/3/7,24.06968117,24.63602638,24.06968117,24.63602638,68.0287
2016/3/8,24.75738716,24.87874603,24.35285378,24.75738716,68.954
2016/3/9,24.63602638,24.63602638,24.19104195,24.2314949,60.7495
2016/3/10,24.27194786,24.83829308,24.27194786,24.83829308,65.8052
2016/3/11,24.75738716,24.79784012,24.51466751,24.59557343,62.3459
2016/3/14,24.95965385,24.95965385,24.59557343,24.83829308,64.3634
2016/3/15,24.83829308,24.83829308,24.2314949,24.35285378,57.7042
2016/3/16,24.4337616,24.59557343,24.2314949,24.59557343,59.9362
2016/3/17,24.83829308,24.95965385,24.59557343,24.95965385,63.0831
2016/3/18,25.12146568,25.56645203,25.12146568,25.56645203,67.6447
2016/3/21,25.6878109,25.84962463,25.16191864,25.60690498,67.9292
2016/3/22,25.6878109,25.97098351,25.28327942,25.97098351,70.4479
2016/3/23,25.76871872,25.89007759,25.40463829,25.56645203,64.3964
2016/3/24,25.56645203,25.56645203,24.95965385,24.95965385,56.5495
